query,answer,durationMs
How can you help me?,"I can show you your sleep data, answer questions about your sleep data, assess your sleep quality based on your sleep data, and provide advice to improve your sleep based on your sleep quality. Sleep quality and advice are based only on ISI, SSO, and SE ratings.",251
Can you provide me with information about my sleep quality ratings?,"Your sleep satisfaction rating is 2 out of 5, indicating that you are not satisfied with the quality of your sleep. Additionally, your daily function rating is 3 out of 5, suggesting that your sleep quality may be impacting your daily activities.",1504
What's my ISI rating?,"Your ISI rating is ""Moderate"". ISI stands for Insomnia Severity Index, which is a measure of the severity of insomnia symptoms. A moderate rating indicates that you may experience some difficulty falling asleep or staying asleep, but it is not severe enough to significantly impact your daily functioning.",1263
What's my SSO rating?,Your SSO rating is Low.,532
What's my SE rating?,"Your SE rating is High. SE stands for Sleep Efficiency, which is the percentage of time you spend asleep while in bed. A high SE rating means that you are spending a high percentage of your time in bed asleep.",1150
How can I get to sleep faster?,"Based on the information you provided, you are at moderate risk for insomnia. To improve your sleep quality and fall asleep faster, you can try the following:

1. Limit the amount of time you spend trying to sleep by going to bed a little later, closer to when you are falling asleep.
2. If you cannot fall asleep in about 15-20 minutes, get out of bed and engage in a quiet, screen-free activity in dim light until you start to feel sleepy.

By following these tips, you may be able to fall asleep faster and improve your overall sleep quality.",2354
Show me my sleep data as a markdown table,"Sure! Here's your sleep data in a markdown table format:

| Date (m/d/yyyy) | Sleep Efficiency (%) | Sleep Onset Duration (hrs) |
|-----------------|----------------------|----------------------------|
| 5/1/2023        | 75                   | 0.5                        |
| 5/2/2023        | 93                   | 0.3                        |
| 5/3/2023        | 88                   | 0.32                       |
| 5/4/2023        | 97                   | 0.27                       |
| 5/5/2023        | 87                   | 0.11                       |
| 5/6/2023        | 76                   | 0.12                       |
| 5/7/2023        | 92                   | 0.6                        |",3571
Show me my sleep data as an HTML table,"Sure, here's your sleep data as an HTML table:

<table>
  <thead>
    <tr>
      <th>Date</th>
      <th>Sleep Efficiency (%)</th>
      <th>Sleep Onset Duration (hrs)</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>5/1/2023</td>
      <td>75</td>
      <td>0.5</td>
    </tr>
    <tr>
      <td>5/2/2023</td>
      <td>93</td>
      <td>0.3</td>
    </tr>
    <tr>
      <td>5/3/2023</td>
      <td>88</td>
      <td>0.32</td>
    </tr>
    <tr>
      <td>5/4/2023</td>
      <td>97</td>
      <td>0.27</td>
    </tr>
    <tr>
      <td>5/5/2023</td>
      <td>87</td>
      <td>0.11</td>
    </tr>
    <tr>
      <td>5/6/2023</td>
      <td>76</td>
      <td>0.12</td>
    </tr>
    <tr>
      <td>5/7/2023</td>
      <td>92</td>
      <td>0.6</td>
    </tr>
  </tbody>
</table>",5862
Show me a histogram of how long it takes me to fall asleep,Here is the link to the histogram of how long it takes you to fall asleep: https://my-histogram.com/odp. Please let me know if you have any questions or if there is anything else I can assist you with.,2843
Show me a pie chart of how long it takes me to fall asleep,Here is the link to the histogram of how long it takes you to fall asleep: https://my-histogram.com/odp. Please let me know if you have any questions or if there is anything else I can assist you with.,2735
Show me a histogram of my sleep efficiency,Here is a histogram of your sleep efficiency: https://my-histogram.com/odp. Please review the results and let me know if you have any questions or concerns.,2356
Show me a time series chart of how long it takes me to fall asleep,Here is the link to the time series chart of how long it takes you to fall asleep: https://my-time-series-chart.com/asdfasdf. Please let me know if you have any further questions or if there is anything else I can assist you with.,4188
Show me my sleep data as a chart in ASCII art table,Here is the link to the bar chart generated from your sleep data: https://my-time-series-chart.com/asdfasdf. Let me know if you need any further assistance.,3751
Show me a chart about my sleep data,"Here is the link to your sleep data bar chart: ""https://my-time-series-chart.com/asdfasdf"". Let me know if you need any further assistance.",4540
What's my DOESNOTEXIST rating?,I can't help with that.,256
